Batter,Icon,Pitcher,Game,HRF,qAB,HH%,AB,H,2B/3B,HR,BB,BA,OBP,OPS
"L. Arraez, 2B (L)",^v,Z. Gallen (R),SFN @ ARI,n/a,56%,28%,20,6,1,0,0,.300,.286,.636
"D. Swanson, SS (R)",^^,W. Buehler (R),SDN @ CHN,1.8,38%,23%,21,6,1,0,2,.286,.348,.681
"C. Yelich, DH (L)",v^,A. Abbott (L),CIN @ MIL,1.4,29%,4%,24,6,0,1,0,.250,.250,.625
"C. Mullins, OF (L)",^v,S. Lugo (R),TBA @ KCA,1.7,83%,33%,11,5,1,1,0,.455,.455,1.273
"W. Contreras, C (R)",^^,A. Abbott (L),CIN @ MIL,1.4,33%,17%,17,5,1,1,1,.294,.333,.862
"B. Lowe, 2B (L)",v^,Z. Wheeler (R),PIT @ PHI,1.8,35%,6%,18,5,3,1,2,.278,.350,1.017
"W. Adames, SS (R)",^v,Z. Gallen (R),SFN @ ARI,n/a,19%,4%,28,4,0,3,3,.143,.226,.690
"C. Schmitt, 2B (R)",vv,Z. Gallen (R),SFN @ ARI,n/a,63%,25%,10,4,0,1,0,.400,.364,1.064
"J. Sanoja, 3B (R)",^v,K. Freeland (L),MIA @ COL,1.2,60%,20%,7,4,1,0,0,.571,.571,1.285
"H. Goodman, OF (R)",^^,M. Meyer (R),MIA @ COL,1.2,100%,0%,6,4,0,2,0,.667,.667,2.334
"H. Hernandez, LF (R)",^v,K. Freeland (L),MIA @ COL,1.2,83%,33%,8,4,0,0,0,.500,.500,1.000
"J. Lee, OF (L)",vv,Z. Gallen (R),SFN @ ARI,n/a,56%,11%,10,3,0,1,1,.300,.364,.964
"K. Marte, 2B (B)",^v,T. McDonald (R),SFN @ ARI,n/a,100%,0%,5,3,0,0,0,.600,.600,1.200
"S. Suzuki, OF (R)",^^,W. Buehler (R),SDN @ CHN,1.8,33%,17%,8,3,0,0,1,.375,.444,.819
"M. Machado, 3B (R)",^v,C. Rea (R),SDN @ CHN,1.8,60%,20%,6,3,1,1,0,.500,.500,1.667
"M. Conforto, OF (L)",v^,W. Buehler (R),SDN @ CHN,1.8,31%,0%,11,3,0,2,1,.273,.385,1.203
"J. Cronenworth, 2B (L)",vv,C. Rea (R),SDN @ CHN,1.8,60%,40%,5,3,0,1,0,.600,.600,1.800
"J. Jung, 3B (R)",^v,J. Cantillo (L),TEX @ CLE,1.4,50%,50%,5,3,1,1,0,.600,.600,2.000
"J. Pena, SS (R)",^v,T. Bradley (R),MIN @ HOU,1.6,36%,14%,11,3,0,1,1,.273,.429,.974
"Y. Diaz, C (R)",vv,T. Bradley (R),MIN @ HOU,1.6,46%,15%,13,3,0,2,0,.231,.231,.923
"J. Aranda, 1B (L)",^v,S. Lugo (R),TBA @ KCA,1.7,33%,33%,9,3,1,0,0,.333,.333,.777
"J. Caminero, 3B (R)",^v,S. Lugo (R),TBA @ KCA,1.7,33%,0%,6,3,0,2,0,.500,.500,2.000
"B. Turang, 2B (L)",v^,A. Abbott (L),CIN @ MIL,1.4,44%,11%,8,3,2,0,1,.375,.444,1.069
"J. Chourio, OF (R)",^^,A. Abbott (L),CIN @ MIL,1.4,63%,25%,7,3,0,2,1,.429,.500,1.786
"B. Reynolds, OF (B)",v^,Z. Wheeler (R),PIT @ PHI,1.8,31%,8%,15,3,0,0,1,.200,.250,.450
"E. Haase, C (R)",vv,Z. Gallen (R),SFN @ ARI,n/a,40%,0%,7,2,0,0,0,.286,.286,.572
"R. Devers, 1B (L)",^v,Z. Gallen (R),SFN @ ARI,n/a,50%,25%,12,2,1,0,3,.167,.333,.583
"I. Happ, OF (B)",v^,W. Buehler (R),SDN @ CHN,1.8,29%,29%,8,2,1,0,1,.250,.400,.775
"C. Kelly, C (R)",^^,W. Buehler (R),SDN @ CHN,1.8,38%,25%,16,2,0,0,1,.125,.222,.347
"M. Busch, 1B (L)",>^,W. Buehler (R),SDN @ CHN,1.8,100%,50%,2,2,0,1,0,1.000,1.000,3.500
"N. Hoerner, 2B (R)",v^,W. Buehler (R),SDN @ CHN,1.8,80%,20%,8,2,0,0,0,.250,.250,.500
"E. Duran, 3B (R)",vv,J. Cantillo (L),TEX @ CLE,1.4,50%,50%,5,2,1,0,0,.400,.400,1.000
"J. Burger, 3B (R)",vv,J. Cantillo (L),TEX @ CLE,1.4,0%,0%,5,2,0,0,0,.400,.400,.800
"E. Tovar, SS (R)",v^,M. Meyer (R),MIA @ COL,1.2,17%,17%,9,2,0,0,0,.222,.222,.444
"J. Marsee, CF (L)",vv,K. Freeland (L),MIA @ COL,1.2,33%,0%,6,2,2,0,0,.333,.333,1.000
"X. Edwards, SS (B)",^v,K. Freeland (L),MIA @ COL,1.2,50%,50%,4,2,0,0,0,.500,.500,1.000
"C. Walker, 1B (R)",^v,T. Bradley (R),MIN @ HOU,1.6,38%,13%,8,2,0,1,0,.250,.250,.875
"J. Altuve, 2B (R)",vv,T. Bradley (R),MIN @ HOU,1.6,27%,18%,10,2,0,0,1,.200,.273,.473
"Y. Alvarez, DH (L)",vv,T. Bradley (R),MIN @ HOU,1.6,40%,20%,5,2,1,0,0,.400,.400,1.000
"Y. Diaz, 1B (R)",^v,S. Lugo (R),TBA @ KCA,1.7,86%,29%,10,2,1,1,0,.200,.200,.800
"N. Loftin, 2B (R)",vv,S. McClanahan,TBA @ KCA,1.7,---,,3,2,0,1,0,.667,.667,2.334
"C. Simpson, CF (L)",>v,S. Lugo (R),TBA @ KCA,1.7,33%,0%,6,2,1,0,0,.333,.333,.833
"J. Caglianone, RF (L)",vv,S. McClanahan,TBA @ KCA,1.7,---,,3,2,0,2,0,.667,.667,3.334
"J. Ortiz, 3B (R)",v^,A. Abbott (L),CIN @ MIL,1.4,20%,0%,10,2,1,1,0,.200,.200,.800
"A. Bohm, 3B (R)",v^,P. Skenes (R),PIT @ PHI,1.8,0%,0%,9,2,1,0,0,.222,.222,.555
"B. Marsh, OF (L)",^^,P. Skenes (R),PIT @ PHI,1.8,40%,20%,7,2,1,0,1,.286,.375,.804
"B. Harper, 1B (L)",^^,P. Skenes (R),PIT @ PHI,1.8,33%,33%,6,2,0,1,0,.333,.333,1.166
"H. Ramos, OF (R)",vv,Z. Gallen (R),SFN @ ARI,n/a,36%,14%,12,1,1,0,2,.083,.214,.381
"C. Carroll, OF (L)",vv,T. McDonald (R),SFN @ ARI,n/a,100%,0%,4,1,0,0,0,.250,.250,.500
