#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
1,Pete Crow-Armstrong,CHC,OF,OF,95.6,177.5,6,29,25,6,14,4,6,3,0,3,6,0.560,0.586,1.200,1.786,100,691718
2,Zack Gelof,ATH,2B/3B/ OF,2B/3B/ OF,79.3,124.3,7,31,26,9,11,3,7,2,0,3,5,0.423,0.516,0.808,1.324,100,680869
3,Bobby Witt Jr.,KC,SS,SS,67.7,121.0,6,25,22,6,11,1,4,4,0,3,1,0.500,0.560,0.727,1.287,100,677951
4,Bryan Reynolds,PIT,OF,OF,58.3,122.8,6,24,21,5,11,3,8,0,0,3,4,0.524,0.583,1.095,1.679,100,668804
5,Wyatt Langford,TEX,OF,OF,46.2,98.7,6,27,25,5,10,3,5,1,0,2,5,0.400,0.444,0.800,1.244,100,694671
6,Willi Castro,COL,1B/2B/ SS/3B/ OF,1B/2B/ SS/3B/ OF,43.2,95.3,6,25,19,4,8,2,10,0,0,6,4,0.421,0.560,0.842,1.402,96,650489
7,Josh Bell,MIN,1B,1B,42.0,93.8,6,23,21,5,9,2,8,0,0,2,3,0.429,0.478,0.762,1.240,18,13145
8,Mookie Betts,LAD,SS,SS,40.6,85.0,6,26,25,8,10,2,2,1,0,1,5,0.400,0.423,0.720,1.143,100,13611
9,Jackson Chourio,MIL,OF,OF,39.5,92.5,6,27,24,4,8,4,7,0,0,2,3,0.333,0.407,0.875,1.282,100,694192
10,Samad Taylor,SD,OF,OF,39.4,101.2,5,22,21,6,9,1,3,2,0,1,4,0.429,0.455,0.571,1.026,26,669392
11,Carter Jensen,KC,C,C,39.3,86.0,6,27,26,5,11,1,6,1,0,1,2,0.423,0.444,0.731,1.175,100,695600
12,Tyler Soderstrom,ATH,1B/OF,1B/OF,39.1,69.1,7,29,24,9,9,2,4,0,0,5,4,0.375,0.483,0.750,1.233,100,691016
13,George Springer,TOR,OF,OF,38.9,79.0,6,27,23,2,8,2,5,3,0,2,3,0.348,0.407,0.652,1.060,97,12856
14,Juan Soto,NYM,OF,OF,38.7,87.7,6,28,22,5,10,2,6,0,1,6,3,0.455,0.571,0.818,1.390,100,665742
15,Corbin Carroll,ARI,OF,OF,38.3,87.0,6,28,26,4,8,2,9,1,0,2,4,0.308,0.357,0.654,1.011,100,682998
16,Colson Montgomery,CHW,SS/3B,SS/3B,37.1,86.7,6,21,19,4,6,4,7,0,0,2,6,0.316,0.381,1.000,1.381,100,695657
17,Nick Kurtz,ATH,1B,1B,36.2,67.7,7,33,27,7,8,2,8,0,0,6,11,0.296,0.424,0.593,1.017,100,701762
18,Andres Gimenez,TOR,2B/SS,2B/SS,34.3,86.2,5,19,18,5,6,1,3,3,0,0,5,0.333,0.316,0.611,0.927,50,665926
19,Nasim Nunez,WSH,2B/SS,2B/SS,33.8,67.5,6,21,17,6,8,0,3,2,0,4,3,0.471,0.571,0.706,1.277,76,683083
20,TJ Rumfield,COL,1B,1B,33.6,82.2,6,26,26,5,8,3,7,0,0,0,1,0.308,0.308,0.808,1.115,98,681198
21,Hunter Goodman,COL,C,C,31.7,77.3,6,26,25,5,8,3,6,0,0,1,4,0.320,0.346,0.720,1.066,100,696100
22,Ben Rice,NYY,C/1B,C/1B,31.3,78.2,6,28,25,4,8,3,7,0,0,3,6,0.320,0.393,0.680,1.073,100,700250
23,Esteury Ruiz,MIA,OF,OF,31.0,61.7,6,16,13,4,7,1,2,2,1,1,4,0.538,0.625,1.000,1.625,1,665923
24,Lawrence Butler,ATH,OF,OF,29.8,65.2,6,22,21,7,8,1,3,1,0,1,7,0.381,0.409,0.619,1.028,47,671732
25,Trevor Larnach,MIN,OF,OF,29.6,90.6,5,19,18,4,9,2,4,0,0,1,1,0.500,0.526,0.833,1.360,3,663616
